example_id,category,split,method,expected_safeguard_ids,ranked_safeguard_ids,top_chunk_ids,latency_ms,recall@1,hit_rate@1,recall@3,hit_rate@3,recall@5,hit_rate@5,mrr@5,ndcg@5
seed-001,paraphrase,dev,vector,1.2,1.2;2.3;2.2;7.5;1.5,cis-controls-v8.1.2:1.2:000;cis-controls-v8.1.2:2.3:000;cis-controls-v8.1.2:2.2:000;cis-controls-v8.1.2:7.5:000;cis-controls-v8.1.2:1.5:000,32.8786,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
seed-001,paraphrase,dev,bm25,1.2,1.1;1.3;5.1;15.1;14.7,cis-controls-v8.1.2:1.1:000;cis-controls-v8.1.2:1.3:000;cis-controls-v8.1.2:1.1:001;cis-controls-v8.1.2:5.1:000;cis-controls-v8.1.2:15.1:000,0.7689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
seed-001,paraphrase,dev,rrf,1.2,1.1;1.2;2.2;1.3;2.3,cis-controls-v8.1.2:1.1:000;cis-controls-v8.1.2:1.2:000;cis-controls-v8.1.2:2.2:000;cis-controls-v8.1.2:1.3:000;cis-controls-v8.1.2:2.3:000,33.7647,0.0,0.0,1.0,1.0,1.0,1.0,0.5,0.6309297535714575
seed-001,paraphrase,dev,hybrid_reranked,1.2,1.2;1.1;2.3;1.3;1.5,cis-controls-v8.1.2:1.2:000;cis-controls-v8.1.2:1.1:001;cis-controls-v8.1.2:2.3:000;cis-controls-v8.1.2:1.3:000;cis-controls-v8.1.2:1.5:000,1279.1469,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
seed-002,direct,dev,vector,2.1,2.2;2.1;6.6;16.4;2.5,cis-controls-v8.1.2:2.2:000;cis-controls-v8.1.2:2.1:000;cis-controls-v8.1.2:6.6:000;cis-controls-v8.1.2:16.4:000;cis-controls-v8.1.2:2.5:000,40.4225,0.0,0.0,1.0,1.0,1.0,1.0,0.5,0.6309297535714575
seed-002,direct,dev,bm25,2.1,2.2;2.5;5.5;5.1;13.1,cis-controls-v8.1.2:2.2:000;cis-controls-v8.1.2:2.5:000;cis-controls-v8.1.2:5.5:000;cis-controls-v8.1.2:5.1:000;cis-controls-v8.1.2:13.1:000,0.8173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
seed-002,direct,dev,rrf,2.1,2.2;2.5;6.6;16.4;2.6,cis-controls-v8.1.2:2.2:000;cis-controls-v8.1.2:2.5:000;cis-controls-v8.1.2:6.6:000;cis-controls-v8.1.2:16.4:000;cis-controls-v8.1.2:2.6:000,41.4018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
seed-002,direct,dev,hybrid_reranked,2.1,2.1;2.2;2.5;2.6;6.6,cis-controls-v8.1.2:2.1:000;cis-controls-v8.1.2:2.2:000;cis-controls-v8.1.2:2.5:000;cis-controls-v8.1.2:2.6:000;cis-controls-v8.1.2:6.6:000,1056.666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
seed-003,paraphrase,dev,vector,3.4,3.4;8.10;4.3;3.2;3.1,cis-controls-v8.1.2:3.4:000;cis-controls-v8.1.2:8.10:000;cis-controls-v8.1.2:4.3:000;cis-controls-v8.1.2:3.2:000;cis-controls-v8.1.2:3.1:000,37.0333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
seed-003,paraphrase,dev,bm25,3.4,2.2;17.3;17.2;12.1;4.3,cis-controls-v8.1.2:2.2:000;cis-controls-v8.1.2:17.3:000;cis-controls-v8.1.2:17.2:000;cis-controls-v8.1.2:12.1:000;cis-controls-v8.1.2:4.3:000,1.5658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
seed-003,paraphrase,dev,rrf,3.4,4.3;2.2;3.4;17.3;3.1,cis-controls-v8.1.2:4.3:000;cis-controls-v8.1.2:2.2:000;cis-controls-v8.1.2:3.4:000;cis-controls-v8.1.2:17.3:000;cis-controls-v8.1.2:3.1:000,38.8177,0.0,0.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.5
seed-003,paraphrase,dev,hybrid_reranked,3.4,3.4;3.1;8.1;8.10;2.2,cis-controls-v8.1.2:3.4:000;cis-controls-v8.1.2:3.1:000;cis-controls-v8.1.2:8.1:000;cis-controls-v8.1.2:8.10:000;cis-controls-v8.1.2:2.2:000,1362.8411,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
seed-004,direct,dev,vector,4.2,12.2;12.3;4.2;4.9;12.8,cis-controls-v8.1.2:12.2:000;cis-controls-v8.1.2:12.3:000;cis-controls-v8.1.2:4.2:000;cis-controls-v8.1.2:4.9:000;cis-controls-v8.1.2:12.8:000,46.8537,0.0,0.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.5
seed-004,direct,dev,bm25,4.2,12.3;12.8;4.9;14.8;12.4,cis-controls-v8.1.2:12.3:000;cis-controls-v8.1.2:12.8:000;cis-controls-v8.1.2:4.9:000;cis-controls-v8.1.2:14.8:000;cis-controls-v8.1.2:12.4:000,0.8425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
seed-004,direct,dev,rrf,4.2,12.3;12.8;4.9;4.2;12.4,cis-controls-v8.1.2:12.3:000;cis-controls-v8.1.2:12.8:000;cis-controls-v8.1.2:4.9:000;cis-controls-v8.1.2:4.2:000;cis-controls-v8.1.2:12.4:000,47.8101,0.0,0.0,0.0,0.0,1.0,1.0,0.25,0.43067655807339306
seed-004,direct,dev,hybrid_reranked,4.2,4.2;12.2;12.3;4.1;4.9,cis-controls-v8.1.2:4.2:000;cis-controls-v8.1.2:12.2:000;cis-controls-v8.1.2:12.3:000;cis-controls-v8.1.2:4.1:000;cis-controls-v8.1.2:4.9:000,1566.4572,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
seed-005,paraphrase,dev,vector,5.1,5.5;5.1;5.4;5.6;1.1,cis-controls-v8.1.2:5.5:000;cis-controls-v8.1.2:5.1:000;cis-controls-v8.1.2:5.4:000;cis-controls-v8.1.2:5.6:000;cis-controls-v8.1.2:1.1:000,43.8259,0.0,0.0,1.0,1.0,1.0,1.0,0.5,0.6309297535714575
seed-005,paraphrase,dev,bm25,5.1,5.1;5.4;5.5;4.7;6.2,cis-controls-v8.1.2:5.1:000;cis-controls-v8.1.2:5.4:000;cis-controls-v8.1.2:5.5:000;cis-controls-v8.1.2:4.7:000;cis-controls-v8.1.2:6.2:000,0.7387,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
seed-005,paraphrase,dev,rrf,5.1,5.1;5.5;5.4;4.7;6.2,cis-controls-v8.1.2:5.1:000;cis-controls-v8.1.2:5.5:000;cis-controls-v8.1.2:5.4:000;cis-controls-v8.1.2:4.7:000;cis-controls-v8.1.2:6.2:000,44.7044,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
seed-005,paraphrase,dev,hybrid_reranked,5.1,5.1;5.5;5.4;4.7;15.1,cis-controls-v8.1.2:5.1:000;cis-controls-v8.1.2:5.5:000;cis-controls-v8.1.2:5.4:000;cis-controls-v8.1.2:4.7:000;cis-controls-v8.1.2:15.1:000,1421.1988,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
seed-006,direct,dev,vector,6.1,6.1;6.2;4.6;6.5;1.1,cis-controls-v8.1.2:6.1:000;cis-controls-v8.1.2:6.2:000;cis-controls-v8.1.2:4.6:000;cis-controls-v8.1.2:6.5:000;cis-controls-v8.1.2:1.1:000,32.9781,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
seed-006,direct,dev,bm25,6.1,6.1;16.14;6.2;3.3;6.8,cis-controls-v8.1.2:6.1:000;cis-controls-v8.1.2:16.14:000;cis-controls-v8.1.2:6.2:000;cis-controls-v8.1.2:3.3:000;cis-controls-v8.1.2:6.8:000,0.8392,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
seed-006,direct,dev,rrf,6.1,6.1;6.2;13.5;3.3;4.1,cis-controls-v8.1.2:6.1:000;cis-controls-v8.1.2:6.2:000;cis-controls-v8.1.2:13.5:000;cis-controls-v8.1.2:3.3:000;cis-controls-v8.1.2:4.1:000,34.1129,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
seed-006,direct,dev,hybrid_reranked,6.1,6.1;6.2;6.8;13.5;3.1,cis-controls-v8.1.2:6.1:000;cis-controls-v8.1.2:6.2:000;cis-controls-v8.1.2:6.8:000;cis-controls-v8.1.2:13.5:000;cis-controls-v8.1.2:3.1:000,1367.4855,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
seed-007,paraphrase,dev,vector,7.6,4.6;7.5;1.4;4.9;1.1,cis-controls-v8.1.2:4.6:000;cis-controls-v8.1.2:7.5:000;cis-controls-v8.1.2:1.4:000;cis-controls-v8.1.2:4.9:000;cis-controls-v8.1.2:1.1:000,39.1392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
seed-007,paraphrase,dev,bm25,7.6,14.7;12.8;3.8;14.1;10.4,cis-controls-v8.1.2:14.7:000;cis-controls-v8.1.2:12.8:000;cis-controls-v8.1.2:3.8:000;cis-controls-v8.1.2:14.1:000;cis-controls-v8.1.2:10.4:000,1.0516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
seed-007,paraphrase,dev,rrf,7.6,13.5;14.7;4.6;12.8;7.5,cis-controls-v8.1.2:13.5:000;cis-controls-v8.1.2:14.7:000;cis-controls-v8.1.2:4.6:000;cis-controls-v8.1.2:12.8:000;cis-controls-v8.1.2:7.5:000,40.3256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
seed-007,paraphrase,dev,hybrid_reranked,7.6,7.6;7.5;14.7;4.3;1.4,cis-controls-v8.1.2:7.6:000;cis-controls-v8.1.2:7.5:000;cis-controls-v8.1.2:14.7:000;cis-controls-v8.1.2:4.3:000;cis-controls-v8.1.2:1.4:000,1496.1019,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
seed-008,direct,dev,vector,8.2,8.1;8.2;8.7;8.5;8.6,cis-controls-v8.1.2:8.1:000;cis-controls-v8.1.2:8.2:000;cis-controls-v8.1.2:8.7:000;cis-controls-v8.1.2:8.5:000;cis-controls-v8.1.2:8.6:000,40.0651,0.0,0.0,1.0,1.0,1.0,1.0,0.5,0.6309297535714575
seed-008,direct,dev,bm25,8.2,8.8;8.12;8.2;8.6;8.7,cis-controls-v8.1.2:8.8:000;cis-controls-v8.1.2:8.12:000;cis-controls-v8.1.2:8.2:000;cis-controls-v8.1.2:8.6:000;cis-controls-v8.1.2:8.7:000,1.2665,0.0,0.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.5
seed-008,direct,dev,rrf,8.2,8.2;8.7;8.1;8.6;8.8,cis-controls-v8.1.2:8.2:000;cis-controls-v8.1.2:8.7:000;cis-controls-v8.1.2:8.1:000;cis-controls-v8.1.2:8.6:000;cis-controls-v8.1.2:8.8:000,41.5643,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
seed-008,direct,dev,hybrid_reranked,8.2,8.2;8.1;8.7;8.6;8.5,cis-controls-v8.1.2:8.2:000;cis-controls-v8.1.2:8.1:000;cis-controls-v8.1.2:8.7:000;cis-controls-v8.1.2:8.6:000;cis-controls-v8.1.2:8.5:000,1035.9834,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
seed-009,paraphrase,dev,vector,9.4,9.4;9.7;9.1;9.6;9.3,cis-controls-v8.1.2:9.4:000;cis-controls-v8.1.2:9.7:000;cis-controls-v8.1.2:9.1:000;cis-controls-v8.1.2:9.6:000;cis-controls-v8.1.2:9.3:000,57.3112,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
seed-009,paraphrase,dev,bm25,9.4,9.1;9.4;14.7;9.7;9.6,cis-controls-v8.1.2:9.1:000;cis-controls-v8.1.2:9.4:000;cis-controls-v8.1.2:14.7:000;cis-controls-v8.1.2:9.7:000;cis-controls-v8.1.2:9.6:000,1.0856,0.0,0.0,1.0,1.0,1.0,1.0,0.5,0.6309297535714575
seed-009,paraphrase,dev,rrf,9.4,9.4;9.1;9.7;9.6;9.2,cis-controls-v8.1.2:9.4:000;cis-controls-v8.1.2:9.1:000;cis-controls-v8.1.2:9.7:000;cis-controls-v8.1.2:9.6:000;cis-controls-v8.1.2:9.2:000,58.5625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
seed-009,paraphrase,dev,hybrid_reranked,9.4,9.4;9.1;9.6;9.7;9.5,cis-controls-v8.1.2:9.4:000;cis-controls-v8.1.2:9.1:000;cis-controls-v8.1.2:9.6:000;cis-controls-v8.1.2:9.7:000;cis-controls-v8.1.2:9.5:000,1386.0887,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
seed-010,direct,dev,vector,10.1,10.1;4.6;2.2;2.3;7.6,cis-controls-v8.1.2:10.1:000;cis-controls-v8.1.2:4.6:000;cis-controls-v8.1.2:2.2:000;cis-controls-v8.1.2:2.3:000;cis-controls-v8.1.2:7.6:000,59.7156,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
seed-010,direct,dev,bm25,10.1,3.8;3.14;18.2;12.8;9.3,cis-controls-v8.1.2:3.8:000;cis-controls-v8.1.2:3.14:000;cis-controls-v8.1.2:18.2:000;cis-controls-v8.1.2:12.8:000;cis-controls-v8.1.2:9.3:000,1.914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
seed-010,direct,dev,rrf,10.1,10.1;4.7;4.8;2.4;10.5,cis-controls-v8.1.2:10.1:000;cis-controls-v8.1.2:4.7:000;cis-controls-v8.1.2:4.8:000;cis-controls-v8.1.2:2.4:000;cis-controls-v8.1.2:10.5:000,61.8152,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
seed-010,direct,dev,hybrid_reranked,10.1,10.1;13.2;9.3;10.5;2.1,cis-controls-v8.1.2:10.1:000;cis-controls-v8.1.2:13.2:000;cis-controls-v8.1.2:9.3:000;cis-controls-v8.1.2:10.5:000;cis-controls-v8.1.2:2.1:000,1603.2299,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
seed-011,paraphrase,dev,vector,11.1,11.1;17.3;17.4;11.2;17.8,cis-controls-v8.1.2:11.1:000;cis-controls-v8.1.2:17.3:000;cis-controls-v8.1.2:17.4:000;cis-controls-v8.1.2:11.2:000;cis-controls-v8.1.2:17.8:000,46.0346,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
seed-011,paraphrase,dev,bm25,11.1,17.4;17.3;17.9;17.7;6.1,cis-controls-v8.1.2:17.4:000;cis-controls-v8.1.2:17.3:000;cis-controls-v8.1.2:17.9:000;cis-controls-v8.1.2:17.7:000;cis-controls-v8.1.2:6.1:000,1.2085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
seed-011,paraphrase,dev,rrf,11.1,17.4;17.3;17.9;11.1;17.7,cis-controls-v8.1.2:17.4:000;cis-controls-v8.1.2:17.3:000;cis-controls-v8.1.2:17.9:000;cis-controls-v8.1.2:11.1:000;cis-controls-v8.1.2:17.7:000,47.4497,0.0,0.0,0.0,0.0,1.0,1.0,0.25,0.43067655807339306
seed-011,paraphrase,dev,hybrid_reranked,11.1,17.3;17.4;11.1;17.9;3.1,cis-controls-v8.1.2:17.3:000;cis-controls-v8.1.2:17.4:000;cis-controls-v8.1.2:11.1:000;cis-controls-v8.1.2:17.9:000;cis-controls-v8.1.2:3.1:000,1360.3281,0.0,0.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.5
seed-012,direct,dev,vector,12.7,12.7;13.5;6.4;4.6;12.8,cis-controls-v8.1.2:12.7:000;cis-controls-v8.1.2:13.5:000;cis-controls-v8.1.2:6.4:000;cis-controls-v8.1.2:4.6:000;cis-controls-v8.1.2:12.8:000,55.5104,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
seed-012,direct,dev,bm25,12.7,12.7;13.5;12.8;9.2;9.3,cis-controls-v8.1.2:12.7:000;cis-controls-v8.1.2:13.5:000;cis-controls-v8.1.2:12.8:000;cis-controls-v8.1.2:9.2:000;cis-controls-v8.1.2:9.3:000,1.236,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
seed-012,direct,dev,rrf,12.7,12.7;13.5;12.8;4.11;9.2,cis-controls-v8.1.2:12.7:000;cis-controls-v8.1.2:13.5:000;cis-controls-v8.1.2:12.8:000;cis-controls-v8.1.2:4.11:000;cis-controls-v8.1.2:9.2:000,56.9028,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
seed-012,direct,dev,hybrid_reranked,12.7,12.7;13.5;14.8;9.3;1.2,cis-controls-v8.1.2:12.7:000;cis-controls-v8.1.2:13.5:000;cis-controls-v8.1.2:14.8:000;cis-controls-v8.1.2:9.3:000;cis-controls-v8.1.2:1.2:000,1400.7658,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
seed-013,paraphrase,dev,vector,13.1,13.1;17.6;13.11;12.8;12.5,cis-controls-v8.1.2:13.1:000;cis-controls-v8.1.2:17.6:000;cis-controls-v8.1.2:13.11:000;cis-controls-v8.1.2:12.8:000;cis-controls-v8.1.2:12.5:000,47.5877,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
seed-013,paraphrase,dev,bm25,13.1,14.7;5.1;13.1;12.8;3.8,cis-controls-v8.1.2:14.7:000;cis-controls-v8.1.2:5.1:000;cis-controls-v8.1.2:13.1:000;cis-controls-v8.1.2:12.8:000;cis-controls-v8.1.2:3.8:000,1.0496,0.0,0.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.5
seed-013,paraphrase,dev,rrf,13.1,13.1;12.8;14.7;17.6;16.8,cis-controls-v8.1.2:13.1:000;cis-controls-v8.1.2:12.8:000;cis-controls-v8.1.2:14.7:000;cis-controls-v8.1.2:17.6:000;cis-controls-v8.1.2:16.8:000,48.8004,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
seed-013,paraphrase,dev,hybrid_reranked,13.1,13.1;16.8;13.11;12.5;6.7,cis-controls-v8.1.2:13.1:000;cis-controls-v8.1.2:16.8:000;cis-controls-v8.1.2:13.11:000;cis-controls-v8.1.2:12.5:000;cis-controls-v8.1.2:6.7:000,1486.6853,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
seed-014,direct,dev,vector,14.6,14.6;14.7;14.2;14.3;14.4,cis-controls-v8.1.2:14.6:000;cis-controls-v8.1.2:14.7:000;cis-controls-v8.1.2:14.2:000;cis-controls-v8.1.2:14.3:000;cis-controls-v8.1.2:14.4:000,45.2915,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
seed-014,direct,dev,bm25,14.6,14.6;14.2;14.3;17.3;14.7,cis-controls-v8.1.2:14.6:000;cis-controls-v8.1.2:14.2:000;cis-controls-v8.1.2:14.3:000;cis-controls-v8.1.2:17.3:000;cis-controls-v8.1.2:14.7:000,1.5944,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
seed-014,direct,dev,rrf,14.6,14.6;14.2;14.7;14.3;14.4,cis-controls-v8.1.2:14.6:000;cis-controls-v8.1.2:14.2:000;cis-controls-v8.1.2:14.7:000;cis-controls-v8.1.2:14.3:000;cis-controls-v8.1.2:14.4:000,47.1372,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
seed-014,direct,dev,hybrid_reranked,14.6,14.6;14.2;14.7;14.5;14.3,cis-controls-v8.1.2:14.6:000;cis-controls-v8.1.2:14.2:000;cis-controls-v8.1.2:14.7:000;cis-controls-v8.1.2:14.5:000;cis-controls-v8.1.2:14.3:000,1004.3244,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
